Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2013,No,Quaker Oats 1Kg box sold in the United Kingdom,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.04,As per company's submission to CDP,0.07,1.75,GHGP,-12.00%,"Please note that 0.07 kg of CO2e reflects a per serving size of 40g.  Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys. This included working with customers; substituting road transportation with rail between Cupar and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials.   The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years  the results of this supply chain engagement should be evidenced in the next re-certification.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2014,No,Quaker Oats 1Kg box sold in the United Kingdom,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.04,As per company's submission to CDP,0.07,1.75,GHGP,-12.00%,"Please note that 0.07 kg of CO2e reflects a per serving size of 40g. Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys. This included working with customers; substituting road transportation with rail between Cupar and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials. The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,Quaker Oats 1Kg box sold in the United Kingdom,"PepsiCo, Inc.",USA,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.04,As per company's submission to CDP,0.07,1.75,GHGP,-12.00%,"Please note that 0.07 kg of CO2e reflects a per serving size of 40g. Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys. This included working with customers; substituting road transportation with rail between Cupar and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials. The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2013,No,Quaker Oats So Simple Original and Golden Syrup products,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.324,As per company's submission to CDP,0.65,2.01,GHGP,-12.00%,"Please note the figures reflects a per serving size of 27g or 36g depending on SKU f.  Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys, this included working with customers; substituting road transportation with rail between site and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials.  The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years  the results of this supply chain engagement should be evidenced in the next re-certification.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2014,No,Quaker Oats So Simple Original and Golden Syrup products,"PepsiCo, Inc.",USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.324,As per company's submission to CDP,0.65,2.01,GHGP,-12.00%,"Please note the figures reflects a per serving size of 27g or 36g depending on SKU f. Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys, this included working with customers; substituting road transportation with rail between site and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials. The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,Quaker Oats So Simple Original and Golden Syrup products,"PepsiCo, Inc.",USA,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.324,As per company's submission to CDP,0.65,2.01,GHGP,-12.00%,"Please note the figures reflects a per serving size of 27g or 36g depending on SKU f. Reduced cooking times prescribed on pack.  Logistics efficiency improvements, notably: reduction of fuel consumption per km travelled (through vehicle replacements and driver efficiency); increased efficiency in network management resulting in less empty return journeys, this included working with customers; substituting road transportation with rail between site and our Southern Regional Distribution Centre.  A change in carton supplier between 2008 and 2010.  Increased product output per Kg oats, due to improved site efficiency with raw materials. The UK business has made a commitment to reduce the agricultural footprint (carbon & water) of key oat suppliers by 50% in 5 years.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2013,No,HH DVD,Philips & Lite-On Digital Solutions Corp.,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Estimated from external data based on product description,25.5,281.09,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,Yes,power supply unit (MF6004-030L),Acbel Polytech Inc,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",1.8,Estimated from external data based on product description,244.09,135.61,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.43689999999999996,0.4644,0.0987,0.0987,
2013,No,CD-ROM,Quanta Storage Inc.,China,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Estimated from external data based on product description,1.62,17.86,Not reported,12.00%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2014,No,CD-ROM,Quanta Storage Inc.,China,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Estimated from external data based on product description,12.0,132.28,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,Yes,LED Lighting,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",6.3,As per company's submission to CDP,33.31,5.29,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9838,0.0138,0.0024,0.0024,
2014,Yes,Projector,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",2.8,As per company's submission to CDP,88.96,31.77,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.877,0.1206,0.0024,0.0024,
2013,Yes,"19 LCD Monitor  Weight: 2.4Kg  Diagonal size: 19""  Power consumption: <16.25W (on mode), <0.72W (power saving mode), <0.53W (off mode) Excluded from the study of carbon footprint of product were CD?Manual and Quick Start Guide",Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",2.4,As per company's submission to CDP,70.02,29.18,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9840000000000001,0.0129,0.0031,0.0031,
2014,Yes,Mobile Phone,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.31,As per company's submission to CDP,19.38,62.52,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.8818,0.11710000000000001,0.001,0.001,
2015,Yes,Monitor,Qisda,Taiwan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",7.4,As per company's submission to CDP,66.19,8.94,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9721,0.022400000000000003,0.005600000000000001,0.005600000000000001,
2016,Yes,Monitor,Qisda,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",5.8,As per company's submission to CDP,74.83,12.9,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9706,0.015600000000000001,0.0138,0.0138,
2015,Yes,Projector,Qisda,Taiwan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",3.4,As per company's submission to CDP,83.18,24.46,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9841,0.0127,0.0031,0.0031,
2016,Yes,Projector,Qisda,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",4.4,As per company's submission to CDP,99.68,22.65,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9726,0.0241,0.0033,0.0033,
2015,Yes,Mobile Phone,Qisda,Taiwan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",0.35,As per company's submission to CDP,53.36,152.46,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9940000000000001,0.0006,0.0054,0.0054,
2016,Yes,Mobile Phone,Qisda,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.35,As per company's submission to CDP,16.21,46.31,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9937999999999999,0.0043,0.0019,0.0019,
2015,Yes,LED Lighting,Qisda,Taiwan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",8.2,As per company's submission to CDP,69.12,8.43,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.8295999999999999,0.16879999999999998,0.0016,0.0016,
2016,Yes,LED Lighting,Qisda,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",5.8,As per company's submission to CDP,24.04,4.14,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9009999999999999,0.09570000000000001,0.0033,0.0033,
2015,Yes,Industrial Solutions,Qisda,Taiwan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",14.2,As per company's submission to CDP,146.41,10.31,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9688,0.027000000000000003,0.0042,0.0042,
2016,Yes,Industrial Solutions,Qisda,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",7.0,As per company's submission to CDP,66.16,9.45,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.8948,0.1002,0.005,0.005,
2013,Yes,Projector  Weight: 7.5Kg Lamp: 24 pcs laser with phosphor Excluded from the study of carbon footprint of product were CD?Manual and Quick Start Guide.,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",7.5,As per company's submission to CDP,182.927,24.39,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9917,0.0052,0.0031,0.0031,
2013,Yes,"Mobile phone Weight: 0.11kg Screen Diagonal: 3.7"" WVGA (800*480) 16M Color TFT-LCD Power Consumption: Standby time(1300m Ah): Up to 4 hrs depends on real-network Excluded from the study of carbon footprint of product were CD?Manual and Quick Start Guide.",Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.11,As per company's submission to CDP,18.756,170.51,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.6915,0.3081,0.0004,0.0004,
2013,Yes,Digital Photo Frame Weight: 0.8 kg Diagonal size: 7D Overall Dimension: 238*202*39.7mm Excluded from the study of carbon footprint of product were CD?Manual and Quick Start Guide.,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.8,As per company's submission to CDP,25.517,31.9,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9843000000000001,0.013300000000000001,0.0024,0.0024,
2013,Yes,Scanner  Weight: 1.4 kg Power supply: 12V/1.5A Excluded from the study of carbon footprint of product were CD?Manual and Quick Start Guide.,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",1.4,As per company's submission to CDP,20.886,14.92,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9547,0.0452,0.0001,0.0001,
2014,Yes,Monitor,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",11.0,As per company's submission to CDP,105.56,9.6,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9647,0.0301,0.0052,0.0052,
2014,Yes,42' Industrial Solutions,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.0,As per company's submission to CDP,174.46,7.59,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9689,0.0171,0.0139,0.0139,
2014,Yes,Mobile Infotainment,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.7,As per company's submission to CDP,25.72,36.74,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.972,0.026000000000000002,0.0019,0.0019,
2014,Yes,Surveillance Camera & Products,Qisda,Taiwan,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",0.162,As per company's submission to CDP,6.13,37.84,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.9037999999999999,0.08810000000000001,0.008199999999999999,0.008199999999999999,
2013,Yes,BlackBerry Bold 9900,BlackBerry Limited,Canada,Telecommunication Services,Wireless Telecommunication Services,"Computer, IT & telecom",0.13,Estimated from external data based on product description,52.2,401.54,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.44179999999999997,0.1685,0.3896,0.0263,0.013600000000000001
2014,Yes,BlackBerry Z10,BlackBerry Limited,Canada,Technology Hardware & Equipment,Communications Equipment,"Computer, IT & telecom",0.1375,Estimated from external data based on product description,57.1,415.27,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.4569,0.1743,0.3688,0.0108,0.0052
2015,Yes,BlackBerry Passport,BlackBerry Limited,Canada,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",0.205,Estimated from external data based on product description,65.1,317.56,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.43729999999999997,0.1668,0.39590000000000003,0.031,0.0019
2016,Yes,BlackBerry Passport,BlackBerry Limited,Canada,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.205,Estimated from external data based on product description,65.1,317.56,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.43729999999999997,0.1668,0.39590000000000003,0.031,0.0019
2016,Yes,BlackBerry Classic,BlackBerry Limited,Canada,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.178,Estimated from external data based on product description,62.8,352.81,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.4403,0.1679,0.3917,0.034300000000000004,0.0023
2016,Yes,BlackBerry Priv,BlackBerry Limited,Canada,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.192,Estimated from external data based on product description,79.9,416.15,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.45130000000000003,0.1721,0.3766,0.0207,0.0018
2017,Yes,Ricoh SP C352DN,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",33.0,Estimated from external data based on product description,1640.0,49.7,ISO,-20.00%,"% change is based on LCA emissions data value between two products (SP C352DN and its predecessor model, SP C342DN). The emissions data was calculated based on ""EcoLeaf"" environmental Labeling program, which is based on ISO 14025 Environmental Product Declaration (EPD) standard as third-party Full-LCA certification.These two models are in the same product category (A4/Letter size color printer) and have a comparable spec. (30 print per minute of C352DN and 26 print per minute of C342DN).",Product carbon efficiency changed,No,0.07730000000000001,0.0212,0.9015000000000001,0.0187,0.0125
2013,No,"Ricoh Aficio MP 6002SP, a Mono-chrome MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",214.0,Estimated from external data based on product description,2400.0,11.21,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,"Ricoh Aficio MP C5502G, a Full-color MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",130.0,Estimated from external data based on product description,2100.0,16.15,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,"Ricoh Aficio SP 8300DN, a high-speed Mono-chrome Network Printer","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",73.0,Estimated from external data based on product description,1297.0,17.77,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,"Ricoh Aficio SP C831DN, a high-speed Full-colour Network Printer","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",97.0,Estimated from external data based on product description,3210.0,33.09,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,"Ricoh Pro C751EX, a Production Printer (Full Color) that is used primarily for high-speed and production type (large print volume) job","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",550.0,Estimated from external data based on product description,7368.0,13.4,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Ricoh MP C5503,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",99.9,Estimated from external data based on product description,1940.0,19.42,ISO,-22.00%,% change is based on TEC (typical weekly electricity consumption) value between MP C5503 and its comparable previous model of three years ago.,Model and/or parameters changed (but not product),N/a (product with insufficient stage-level data),,,,,
2014,No,Ricoh MP C8002SP: The product is a high-speed (80 images/minute) color multi-functional product (MFP) and is a major representative of our image solution products business.  The lifecycle emissions data of this product is provided as a case example of our entire image solution business products line which covers 77% of Ricoh's total revenue.,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",241.0,Estimated from external data based on product description,6140.0,25.48,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,No,Ricoh MP 6054SPG,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",74.0,Estimated from external data based on product description,1330.0,17.97,ISO,-31.00%,"% change is based on TEC (typical weekly electricity consumption) value between MP 6054SPG and MP C5503, the model we presented as the case example model for the previous year report. These two models are in the same product category (color MFP) and have a comparable spec. (55 print per minute of C5503 compared to 60 print per minute with 6054SPG).",Model and/or parameters changed (but not product),N/a (product with insufficient stage-level data),,,,,
2015,No,RICOH Pro C7110S QX100,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",600.0,Estimated from external data based on product description,8080.0,13.47,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,SBS Board,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,968.0,0.97,Not reported,-13.50%,one inportant factor was the better utilisation rate of the equipment.,Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2014,Yes,AlgroDesign,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,1031.6,1.03,Not reported,6.50%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,0.3017,0.6983,0.0,,
2013,No,One side coated label paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,949.0,0.95,Not reported,-13.10%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2014,Yes,Parade Prima,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,1042.8,1.04,Not reported,9.80%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,0.30920000000000003,0.6908,0.0,,
2013,No,Uncoated flexible packaging paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,1033.0,1.03,Not reported,-12.40%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2014,Yes,"Leine Mühle, Leine Silk",Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,1060.9,1.06,Not reported,2.60%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,0.321,0.679,0.0,,
2013,No,One side coated flexible packaging paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,973.0,0.97,Not reported,-13.70%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2014,Yes,Algro Helix,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000.0,As per company's submission to CDP,1082.6,1.08,Not reported,6.80%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,0.3346,0.6654000000000001,0.0,,
2013,Yes,Acti9  Residual current circuit breaker  iID K. The main function of the iID K product range is to ensure protection of people against electric shocks. PEP of this product is available here: http://planet.schneider-electric.com/C12577A200268439/all/14AA652B755F340C852577F3006F06D0/$File/envpep100201en.pdf,Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.0668,0.0144,0.9188,0.0016,
2014,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.0668,0.0144,0.9188,0.0016,
2015,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,Schneider Electric,France,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.0668,0.0144,0.9188,0.0016,
2016,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,61.23,291.57,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,0.0192,0.0040999999999999995,0.9765999999999999,0.0008,0.002
2013,Yes,Corrugated box,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000.0,As per company's submission to CDP,746.0,0.75,FEFCO,-5.00%,update of database,Model and/or parameters changed (but not product),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2014,Yes,Corrugated Box,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000.0,As per company's submission to CDP,746.0,0.75,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2015,Yes,Corrugated box,Smurfit Kappa Group PLC,Ireland,Containers & Packaging,Not used for 2015 reporting,Packaging for consumer goods,1000.0,As per company's submission to CDP,746.0,0.75,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2013,Yes,Board packaging,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000.0,As per company's submission to CDP,964.0,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2014,Yes,Solid Board,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000.0,As per company's submission to CDP,964.0,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2015,Yes,Solid Board,Smurfit Kappa Group PLC,Ireland,Containers & Packaging,Not used for 2015 reporting,Packaging for consumer goods,1000.0,As per company's submission to CDP,964.0,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,0.8701000000000001,0.12990000000000002,0.0,,
2014,Yes,Sodium Carbonate,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1.0,As per company's submission to CDP,1.32,1.32,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.0152,0.9848,0.0,,
2014,Yes,Sodium Bicarbonate,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1.0,As per company's submission to CDP,1.1,1.1,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.0091,0.9909,0.0,,
2015,Yes,Sodium Bicarbonate,Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1.0,As per company's submission to CDP,1.01,1.01,GHGP,8.00%,GHG Protocol Product Accounting & Reporting Standard,Model and/or parameters changed (but not product),No,0.099,0.9009999999999999,0.0,,
2016,No,Sodium Bicarbonate,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1.0,As per company's submission to CDP,1.01,1.01,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,Yes,Dense Sodium Carbonate,Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1.0,As per company's submission to CDP,1.29,1.29,GHGP,2.00%,Recalculation has been done with Simapro V8.0 and Ecoinvent V2.2 and V3,Model and/or parameters changed (but not product),No,0.1085,0.8915000000000001,0.0,,
2016,No,Dense Sodium Carbonate,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1.0,As per company's submission to CDP,1.29,1.29,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,Yes,Light Sodium Carbonate,Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1.0,As per company's submission to CDP,1.19,1.19,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.1092,0.8908,0.0,,
2016,No,Light Sodium Carbonate,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1.0,As per company's submission to CDP,1.19,1.19,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,Yes,Staples Sustainable Earth 12A toner cartridge,"Staples, Inc.",USA,Retailing,Specialty Retail,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,2.526,3.09,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.7184999999999999,0.0762,0.2053,0.1746,0.030699999999999998
2015,Yes,Staples Sustainable Earth 12A toner cartridge,"Staples, Inc.",USA,Retailing,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,2.526,3.09,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.7184999999999999,0.0762,0.2053,0.1746,0.030699999999999998
2014,Yes,Staples Sustainable Earth 38A toner cartridge,"Staples, Inc.",USA,Retailing,Specialty Retail,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,8.38,10.25,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.7845,0.0526,0.1629,0.14730000000000001,0.0155
2015,Yes,Staples Sustainable Earth 38A toner cartridge,"Staples, Inc.",USA,Retailing,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,8.38,10.25,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.7845,0.0526,0.1629,0.14730000000000001,0.0155
