*PCF-ID,Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Product detail,Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF),*Adjustments to raw data (if any)
10666-10-2014,2014,No,MS315DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,Estimated from external data based on product description,1616.172,100.79,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-11-2014,2014,No,MS410DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.898413,Estimated from external data based on product description,1523.19,95.81,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-1-2014,2014,No,CX310DN - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,Estimated from external data based on product description,2358.38,75.19,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-12-2014,2014,No,MS415DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,Estimated from external data based on product description,1524.56,95.08,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-13-2014,2014,No,MS510DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.66952,Estimated from external data based on product description,1617.69,97.04,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-14-2014,2014,No,MS610DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",18.37049,Estimated from external data based on product description,1978.08,107.68,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-15-2014,2014,No,MS610DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",17.576704,Estimated from external data based on product description,1957.73,111.38,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-16-2014,2014,No,MS810DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.4877,Estimated from external data based on product description,2106.94,76.65,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-17-2014,2014,No,MS810DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2005.36,73.08,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-18-2014,2014,No,MS811DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2387.57,87,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-19-2014,2014,No,MS812DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.75985,Estimated from external data based on product description,2744.39,98.86,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-20-2014,2014,No,MS812DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2747.47,100.12,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-21-2014,2014,No,MX310DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",22.45282,Estimated from external data based on product description,1140.41,50.79,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-2-2014,2014,No,CX410DE - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,Estimated from external data based on product description,3236.35,103.18,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-22-2014,2014,No,MX410DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.019813,Estimated from external data based on product description,1498.6,65.1,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-23-2014,2014,No,MX511DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",25.4012,Estimated from external data based on product description,1678.97,66.1,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-24-2014,2014,No,MX611DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",28.03201,Estimated from external data based on product description,2132.34,76.07,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-25-2014,2014,No,MX710DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,Estimated from external data based on product description,2923.11,51.15,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
10666-26-2014,2014,No,MX711DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,Estimated from external data based on product description,3127.248,54.72,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Concatenated fields product name and product description into field product name to give richer product description
