*PCF-ID,Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Product detail,Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF),*Adjustments to raw data (if any)
10661-1-2014,2014,No,501® Original Jeans – Dark Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16,16.05,PAS2050,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-1-2015,2015,No,501® Original Jeans – Dark Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16,16.05,PAS2050,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-1-2016,2016,No,501® Original Jeans – Dark Stonewash,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16,16.05,PAS2050,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-2-2014,2014,No,Slim Straight 514™ Jeans – Indigo Wash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,8.6,12.65,PAS2050,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-2-2015,2015,No,Slim Straight 514™ Jeans – Indigo Wash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,8.6,12.65,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-2-2016,2016,No,Slim Straight 514™ Jeans – Indigo Wash,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,Estimated from external data based on product description,8.6,9.77,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-3-2014,2014,No,Slim Straight 514™ Jeans – Rigid Tank,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,7.7,11.32,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-3-2015,2015,No,Slim Straight 514™ Jeans – Rigid Tank,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,7.7,11.32,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-3-2016,2016,No,Slim Straight 514™ Jeans – Rigid Tank,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,Estimated from external data based on product description,7.7,8.75,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-4-2014,2014,No,501® Original Jeans – Light Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,15,15.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-4-2015,2015,No,501® Original Jeans – Light Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,15,15.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-5-2014,2014,No,501® Original Jeans – Medium Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16,16.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-5-2015,2015,No,501® Original Jeans – Medium Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16,16.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-6-2014,2014,No,Slim Straight 514™ Jeans – Tumbled Rigid,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,16,23.53,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-6-2015,2015,No,Slim Straight 514™ Jeans – Tumbled Rigid,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,Estimated from external data based on product description,16,23.53,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-7-2014,2014,No,Regular Straight 505® Jeans – Range (Water<Less™),BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-7-2015,2015,No,Regular Straight 505® Jeans – Range (Water<Less™),BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-8-2014,2014,No,Regular Straight 505® Jeans – Range,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-8-2015,2015,No,Regular Straight 505® Jeans – Range,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-9-2014,2014,No,Regular Straight 505® Jeans – House Cat,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-9-2015,2015,No,Regular Straight 505® Jeans – House Cat,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
