Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2015,No,South Korea,Not used for 2015 reporting,Chemicals,1000.0,GHGP,6309.0
2016,No,South Korea,Chemicals,Chemicals,1000.0,GHGP,4286.0
2015,No,South Korea,Not used for 2015 reporting,Chemicals,1000.0,GHGP,876.0
2016,No,South Korea,Chemicals,Chemicals,1000.0,GHGP,396.0
2016,No,South Korea,Chemicals,Chemicals,1000.0,GHGP,1088.0
2016,No,South Korea,Chemicals,Chemicals,1000.0,GHGP,10607.0
2013,Yes,South Korea,Household Durables,"Home durables, textiles, & equipment",0.1471,ISO,7.0
2015,Yes,Switzerland,Not used for 2015 reporting,"Computer, IT & telecom",0.136,Not reported,4.32
2013,Yes,United Kingdom,Food Products,Food & Beverage,1000.0,PAS2050,650.0
2014,No,United Kingdom,Food Products,Food & Beverage,1000.0,PAS2050,650.0
2016,No,United Kingdom,Beverages,Food & Beverage,1000.0,PAS2050,650.0
2013,No,Brazil,Metals & Mining,Construction & commercial materials,1500.0,GHGP,1750.0
2016,Yes,Taiwan,Semiconductors & Semiconductor Equipment,"Computer, IT & telecom",0.1,GHGP,1.719
2013,No,USA,Software,"Computer, IT & telecom",0.0907185,GHGP,1.28
2014,Yes,USA,Software,"Computer, IT & telecom",0.0907185,GHGP,1.28
2015,Yes,USA,Not used for 2015 reporting,"Computer, IT & telecom",0.0907185,GHGP,1.28
2013,Yes,USA,Software,"Computer, IT & telecom",0.0085,GHGP,2.285
2014,Yes,USA,Software,"Computer, IT & telecom",0.0085,GHGP,2.29
2015,Yes,USA,Not used for 2015 reporting,"Computer, IT & telecom",0.0085,GHGP,2.29
2015,Yes,USA,Not used for 2015 reporting,"Computer, IT & telecom",0.181437,GHGP,1.67
2016,No,Spain,Paper & Forest Products,Construction & commercial materials,1.0,GHGP,3.0
2013,No,United Kingdom,Commercial Services & Supplies,"Home durables, textiles, & equipment",2.32,ISO,320.0
2013,No,United Kingdom,Commercial Services & Supplies,"Home durables, textiles, & equipment",4.2,ISO,20.0
2017,Yes,Japan,Chemicals,Chemicals,500.0,Not reported,200.0
2017,Yes,Japan,Chemicals,Chemicals,20.0,Not reported,71.0
2017,Yes,Japan,Chemicals,Chemicals,20.0,Not reported,4.0
