iter	RMSE
342	0.5869316097
343	0.5868297271
344	0.5854561046
345	0.5848326319
346	0.5841354566
347	0.5833198082
348	0.5832200896
349	0.5824858356
350	0.5819947863
351	0.5810909127
352	0.5803701525
353	0.5802739451
354	0.5801952112
355	0.5795804545
356	0.5794882812
357	0.578738783
358	0.5782224715
359	0.5769853196
360	0.5757801102
361	0.5749236206
362	0.5744091123
363	0.5743334022
364	0.5733136784
365	0.5732397073
366	0.5726801769
367	0.5721994885
368	0.5718628171
369	0.5713442515
370	0.5704019792
371	0.5699416317
372	0.5692582536
373	0.5684190961
374	0.5676520479
375	0.5667452878
376	0.5660022362
377	0.5654522796
378	0.5649324129
379	0.5641771041
380	0.5631768271
381	0.5627348625
382	0.5623011916
383	0.5617177382
384	0.5610708682
385	0.56047086
386	0.5598228288
387	0.55921455
388	0.5582622768
389	0.5576745154
390	0.5570486123
391	0.5566262359
392	0.5559699287
393	0.5550624131
394	0.5545514415
395	0.5539894511
396	0.5534975749
397	0.5530841841
398	0.5525232813
399	0.5516028828
400	0.5510597503
401	0.5505983294
402	0.5501568837
403	0.5497505865
404	0.5492277652
405	0.5487920375
406	0.5482934716
407	0.5478761623
408	0.5476476838
409	0.5469375416
410	0.5465336133
411	0.5457000923
412	0.5451637714
413	0.5448294445
414	0.5443238354
415	0.5435597277
416	0.5432415867
417	0.5429245532
418	0.5424852142
419	0.5419182251
420	0.5410091435
421	0.5406824216
422	0.539854837
423	0.5396744181
424	0.5388309465
425	0.5380630406
426	0.5373174649
427	0.5369760456
428	0.5365989391
429	0.5364308048
430	0.5360312107
431	0.5356680832
432	0.5346938092
433	0.5343723678
434	0.5338817485
435	0.5334645316
436	0.533168514
437	0.5328230445
438	0.5325725913
439	0.5318683484
440	0.5311616635
441	0.5310835158
442	0.5309321204
443	0.5302018273
444	0.5299123117
445	0.5288472377
446	0.5282871855
447	0.5282127448
448	0.5281404633
449	0.5274465586
450	0.5273759228
451	0.5270589212
452	0.5263955327
453	0.5261052883
454	0.5255104318
455	0.5254434067
456	0.5249218387
457	0.5242608944
458	0.5239448284
459	0.5236514038
460	0.5230549889
461	0.5224482329
462	0.5222883369
463	0.5218058778
464	0.5211824507
465	0.5206053862
466	0.5199963672
467	0.5197093738
468	0.5194109685
469	0.5189893347
470	0.5189296826
471	0.5186477454
472	0.5181301255
473	0.5180032861
474	0.5173957004
475	0.5172751324
476	0.5169220922
477	0.5168653668
478	0.516355103
479	0.5162997216
480	0.515421686
481	0.5145599537
482	0.5145060368
483	0.514311027
484	0.5140477448
485	0.5139709614
486	0.5136898001
487	0.5134253442
488	0.512894128
489	0.5126014734
490	0.5123993174
491	0.5119855618
492	0.5115892047
493	0.5110510347
494	0.5109805932
495	0.5104189927
496	0.5098835071
497	0.5096444237
498	0.5093392935
499	0.5089778098
